"Timestamp","Your Name","1. Gender","2. Age","3. Department ","4. Academic Year","  5. Current Accommodation Type  ","  6. Did you apply for a hall seat?  ","7. Did you get a hall seat?  ","8. Number of people sharing your room  ","9. Satisfaction with your current living condition  ","  10. Distance from campus  ","  11. Daily commute time (one way)  ","  12. Total commuting time per day  ","  13. Mode of transport  ","  14. Daily transport cost  ","15. How often are you late due to commuting? ","  16. Monthly living cost  ","  17. Current CGPA  ","18. Average study hours/day  ","19. Class attendance (%)  ","20. Do you miss classes due to commuting?","21. Do you find it difficult to study after commuting? ","22. Have your grades decreased after your current living arrangement?","  23. Stress level  ","  24. Anxiety level  ","  25. Sleep hours/day","  26. Do you feel isolated?  ","  27. Do you feel academic pressure due to your current living situation?  ","28. Do you have a proper study environment at your residence?","29. Participation in extracurricular activities","30. Internet access quality","31. Financial stress level","  32. Does the expenses affect study?  ","33. How safe do you feel in your current residence?","34. Does safety concern affect your mental wellbeing or study?"
"2026/05/05 3:26:53 pm GMT+6","","Male","23-25","Applied Mathematics ","3rd Year","Rented Mess/Flat","No","No","1","2",">5 km","15–30 min","1–2 hours","Bus","0","Sometimes",">8000","3.50–4.00","<2","70–85%","No","Yes","No","2","2","7-10","No","No","Yes","2","4","2","Yes","2","4"
"2026/05/05 3:39:57 pm GMT+6","","Male","23-25","IIT","3rd Year","Living with Family","Yes","No","single room","5","<1 km","15–30 min","30–60 min","Walking","0","Sometimes","5000–8000","3.50–4.00","4–6","85-100%","No","Yes","No","1","1","7-10","Yes","No","Yes","1","4","2","Yes","1","1"
"2026/05/05 3:40:21 pm GMT+6","","Female","23-25","IIT","4th Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus","0","Walking","<50","Sometimes","5000–8000","3.50–4.00","2–4","85-100%","No","Yes","No","3","3","<5","Maybe","Yes","Yes","3","1","3","Yes","1","3"
"2026/05/05 5:57:54 pm GMT+6","","Female","23-25","IICT","3rd Year","Rented Mess/Flat","Yes","Waiting","2","1","<1 km","<15 min","<30 min","Walking","0","Never",">8000","3.00–3.49","<2","85-100%","No","No","No","3","3","7-10","Yes","Yes","Yes","1","3","3","No","1","5"
"2026/05/05 6:08:51 pm GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","single room","2","1–3 km","15–30 min","30–60 min","Walking","<50","Never","5000–8000","3.50–4.00","4–6","85-100%","No","No","No","2","2","7-10","No","No","Yes","2","4","3","Yes","2","4"
"2026/05/05 7:14:34 pm GMT+6","","Male","23-25","IIT","3rd Year","Rented Mess/Flat","No","No","2","2","3–5 km","15–30 min","30–60 min","Bus","<50","Sometimes","3000–5000","2.50–2.99","2–4","85-100%","No","No","No","2","2","6–7","No","No","Yes","1","3","3","No","2","3"
"2026/05/05 7:29:41 pm GMT+6","","Female","23-25","IIT","4th Year","Rented Mess/Flat","Yes","Yes","more than 4","4",">5 km","15–30 min","30–60 min","CNG","<50","Sometimes","5000–8000","2.50–2.99","2–4","<50%","No","No","No","1","1","5–6","No","No","Yes","1","3","2","No","2","1"
"2026/05/05 8:33:20 pm GMT+6","","Female","23-25","Applied mathematics ","3rd Year","Rented Mess/Flat","No","No","1","2",">5 km","15–30 min","1–2 hours","Bus","<50","Often","5000–8000","3.00–3.49","<2","50–70%","Yes","Yes","Yes","2","2","5–6","No","Yes","Yes","2","3","3","Yes","3","2"
"2026/05/05 8:52:43 pm GMT+6","","Male","23-25","ESDM","4th Year","University Hall","Yes","Yes","4","2","On campus","on campus","<30 min","Bus","0","Sometimes","3000–5000","3.50–4.00","2–4","85-100%","No","No","No","1","1","5–6","Yes","Yes","Yes","2","3","2","No","2","2"
"2026/05/06 11:05:27 am GMT+6","","Male","20-22","Software engineering ","2nd Year","Rented Mess/Flat","No","No","single room","1",">5 km","30–60 min","1–2 hours","Bus","0","Sometimes","5000–8000","3.00–3.49","2–4","<50%","No","Yes","Yes","3","3","5–6","Yes","Yes","Yes","1","2","5","Yes","1","1"
"2026/05/06 11:05:44 am GMT+6","","Female","20-22","IIT","2nd Year","Rented Mess/Flat","No","No","2","3",">5 km","30–60 min","30–60 min","Bus","<50","Sometimes","5000–8000","3.00–3.49","2–4","70–85%","Yes","Yes","Yes","2","3","5–6","Maybe","Yes","Yes","2","3","2","No","2","1"
"2026/05/06 11:06:07 am GMT+6","","Male","20-22","SOFTWARE Engineering","1st Year","University Hall","Yes","No","2","3","1–3 km","15–30 min","<30 min","Rickshaw","<50","Sometimes","3000–5000","2.50–2.99","4–6","70–85%","Yes","Yes","Yes","1","1","5–6","Yes","Yes","Yes","1","2","3","Yes","3","2"
"2026/05/06 11:06:35 am GMT+6","","Male","20-22","IIT","2nd Year","Rented Mess/Flat","Yes","No","2","4",">5 km","30–60 min","1–2 hours","Bus","50–100","Sometimes",">8000","3.00–3.49","4–6","50–70%","Yes","Yes","Yes","3","3","6–7","Maybe","Yes","Yes","2","4","4","Yes","3","4"
"2026/05/06 11:06:45 am GMT+6","","Female","20-22","IIT","2nd Year","Living with Family","No","No","","3","3–5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","5000–8000","3.50–4.00","2–4","70–85%","No","Yes","No","2","2","6–7","No","No","Yes","1","4","3","No","1","1"
"2026/05/06 11:07:34 am GMT+6","","Male","20-22","IIT","2nd Year","Rented Mess/Flat","No","No","2","3","<1 km","<15 min","<30 min","Walking","0","Sometimes","<3000","3.00–3.49","4–6","85-100%","No","No","Yes","2","2","6–7","No","Yes","No","2","4","3","No","3","3"
"2026/05/06 11:08:32 am GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","No","No","2","1",">5 km","30–60 min","1–2 hours","Bus","0","Never","5000–8000","3.00–3.49","2–4","85-100%","No","Yes","Yes","3","3","6–7","No","Yes","Yes","3","4","3","Yes","4","3"
"2026/05/06 11:08:34 am GMT+6","","Female","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","2","4",">5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","5000–8000","3.50–4.00","2–4","50–70%","Yes","Yes","Yes","3","3","<5","Yes","Yes","No","1","2","1","Yes","4","2"
"2026/05/06 11:09:46 am GMT+6","","Male","20-22","Software engineering ","2nd Year","Rented Mess/Flat","No","No","1","1",">5 km","<15 min","<30 min","Bus","0","Never","5000–8000","3.00–3.49","2–4","85-100%","No","No","No","3","3","7-10","Yes","No","No","1","2","5","Yes","1","2"
"2026/05/06 11:11:03 am GMT+6","","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","No","No","1","1",">5 km","30–60 min","30–60 min","Bus","<50","Sometimes","3000–5000","3.00–3.49","2–4","70–85%","No","No","No","1","1","6–7","No","No","Yes","2","4","2","Yes","1","1"
"2026/05/06 11:13:07 am GMT+6","","Male","20-22","Software Engineering ","2nd Year","Other","No","No","2","3",">5 km","30–60 min","30–60 min","Bus","<50","Sometimes","5000–8000","3.00–3.49","7-8","85-100%","No","No","Yes","2","2","7-10","No","Yes","Yes","3","4","3","Yes","1","3"
"2026/05/06 11:17:23 am GMT+6","","Male","23-25","IIT ","2nd Year","Rented Mess/Flat","No","No","2","2",">5 km","30–60 min","1–2 hours","Bus","50–100","Sometimes",">8000","3.00–3.49","2–4","70–85%","No","Yes","No","1","1","6–7","No","No","Yes","1","3","3","Yes","3","3"
"2026/05/06 11:33:58 am GMT+6","Dipa Das","Female","23-25","Software engineering ","3rd Year","Rented Mess/Flat","No","No","1","2","1–3 km","15–30 min","30–60 min","Bus","0","Never","3000–5000","3.00–3.49","2–4","85-100%","No","No","No","2","2","6–7","No","No","Yes","2","4","1","No","1","4"
"2026/05/06 11:37:39 am GMT+6","Bony","Female","23-25","IIT","3rd Year","Rented Mess/Flat","Yes","No","1","3",">5 km","30–60 min","1–2 hours","Bus","50–100","Often","5000–8000","3.00–3.49","<2","50–70%","No","Yes","Yes","3","3","6–7","Maybe","No","Yes","1","3","4","Yes","3","4"
"2026/05/06 11:37:48 am GMT+6","Yousuf Ahmed Raihan","Male","23-25","IIT","3rd Year","University Hall","Yes","Yes","4","3","On campus","on campus","0","Walking","0","Sometimes","5000–8000","2.50–2.99","2–4","70–85%","No","No","No","2","2","6–7","Maybe","Yes","No","2","2","3","Yes","4","3"
"2026/05/06 11:39:29 am GMT+6","Mehedi hasan","Male","20-22","Iit","3rd Year","Rented Mess/Flat","Yes","Yes","more than 4","2","On campus","on campus","0","Walking","0","Sometimes","5000–8000","3.50–4.00","4–6","85-100%","Yes","Yes","Yes","2","2","6–7","No","No","Yes","2","3","3","Yes","3","2"
"2026/05/06 11:43:01 am GMT+6","Shorna","Female","20-22","IIT","3rd Year","Rented Mess/Flat","Yes","No","single room","2","1–3 km","<15 min","<30 min","Rickshaw","<50","Sometimes","5000–8000","3.00–3.49","<2","85-100%","Yes","Yes","Yes","3","3","6–7","Yes","Yes","Yes","","3","5","Yes","3","5"
"2026/05/06 11:43:19 am GMT+6","Fabiha Bushra ","Female","20-22","IIT","3rd Year","Rented Mess/Flat","No","No","2","2","3–5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","3000–5000","3.00–3.49","<2","50–70%","Yes","Yes","No","2","2","6–7","Maybe","No","Yes","1","3","1","No","2","2"
"2026/05/06 12:08:27 pm GMT+6","Nusrat Jahan ","Female","23-25","MIS ","4th Year","Rented Mess/Flat","Yes","No","1","4","3–5 km","30–60 min",">2hours","Bus","<50","Sometimes","5000–8000","3.50–4.00","2–4","70–85%","Yes","Yes","Yes","3","3","6–7","Yes","Yes","No","2","2","4","Yes","4","4"
"2026/05/06 1:02:09 pm GMT+6","Ayoraf Hossain ","Male","23-25","IIT","3rd Year","Rented Mess/Flat","Yes","No","2","5","<1 km","15–30 min","30–60 min","Walking","0","Sometimes","5000–8000","3.50–4.00","4–6","85-100%","No","Yes","No","2","1","6–7","Maybe","No","Yes","1","3","3","Yes","4","3"
"2026/05/06 6:33:06 pm GMT+6","Prattoy Das ","Male","20-22","Software Engineering ","2nd Year","Rented Mess/Flat","Yes","No","2","5",">5 km","15–30 min","30–60 min","Bus","0","Sometimes","5000–8000","3.00–3.49","2–4","70–85%","No","Yes","No","1","1","6–7","No","No","Yes","1","4","3","No","5","1"
"2026/05/06 9:04:56 pm GMT+6","Jaba Rani acharjee","Female","23-25","IIT","3rd Year","University Hall","Yes","Yes","4","2","On campus","on campus","0","Walking","0","Sometimes","3000–5000","3.00–3.49","<2","70–85%","Yes","Yes","No","2","2","7-10","Yes","No","No","1","2","3","Yes","2","3"
"2026/05/07 10:36:08 am GMT+6","Orpa","Female","23-25","IIT","3rd Year","Rented Mess/Flat","Yes","No","1","4","1–3 km",">1 hour",">2hours","Bus","<50","Often","5000–8000","3.50–4.00","<2","70–85%","Yes","Yes","Yes","2","2","5–6","Maybe","Yes","No","2","2","1","Yes","3","3"
"2026/05/07 8:42:47 pm GMT+6","Yousuf Ahmed Raihan","Male","23-25","IIT","3rd Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus","0","Walking","0","Sometimes","5000–8000","2.50–2.99","2–4","70–85%","No","No","Yes","2","2","7-10","Maybe","Yes","No","2","3","3","Yes","3","1"
